price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,Links,graphics_quality
1399.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GE8?Item=9SIBM7NJW21168,Medium
1459.0,Gaming,Windows 10,3.2,Ryzen 7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,32,HP,https://www.newegg.com/p/2WC-0001-043K9?Item=9SIBM7NJW14173,Medium
1089.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1200,16,Acer,https://www.newegg.com/p/2WC-000K-01EG3?Item=9SIBM7NJW20287,Medium
1269.0,Gaming,Windows 10,3.33,Ryzen 5,512,NVIDIA GeForce GTX 1650,0,1920x1200,32,Lenovo,https://www.newegg.com/p/2WC-000J-021Y6?Item=9SIBM7NJW18380,Medium
1479.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GD0?Item=9SIBM7NJW21063,Medium
2159.0,Gaming,Windows 10,2.9,Ryzen 7,512,NVIDIA GeForce RTX 3060,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09G76?Item=9SIBM7NJW20898,High
2259.0,Gaming,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,https://www.newegg.com/p/2WC-000K-01DP6?Item=9SIBM7NJW17795,High
1349.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GG1?Item=9SIBM7NJW21181,Medium
2059.0,Gaming,Windows 10,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09G50?Item=9SIBM7NJW20919,High
1639.0,Gaming,Windows 10,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09774?Item=9SIBM7NJW17985,Medium
1279.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GD6?Item=9SIBM7NJW21073,Medium
1329.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GF8?Item=9SIBM7NJW21171,Medium
1449.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GB8?Item=9SIBM7NJW21187,Medium
1269.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GF7?Item=9SIBM7NJW21177,Medium
1289.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce RTX 3050,0,1920x1200,32,Acer,https://www.newegg.com/p/2WC-000K-01EF8?Item=9SIBM7NJW20091,Medium
1279.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce RTX 3050,0,1920x1200,16,Acer,https://www.newegg.com/p/2WC-000K-01EF0?Item=9SIBM7NJW20083,Medium
1349.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09GE9?Item=9SIBM7NJW21169,Medium
1899.0,Gaming,Windows 10,2.4,Intel Core i7,2000,NVIDIA GeForce RTX 3050,0,1920x1080,32,MSI,https://www.newegg.com/p/2WC-000C-0E668?Item=9SIBM7NJW12679,Medium
2369.0,Gaming,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3060,0,1920x1080,64,Acer,https://www.newegg.com/p/2WC-000K-01DR8?Item=9SIBM7NJW17893,High
2559.0,Gaming,Windows 10,2.3,Intel Core i7,2000,NVIDIA GeForce RTX 3060,0,1920x1080,64,Acer,https://www.newegg.com/p/2WC-000K-01DP2?Item=9SIBM7NJW17904,High
