price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,graphics_quality
869.99,Work / Business,Windows 11,1.7,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,16,Dell,Fair
1649.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,16,Acer,High
1029.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,32,MSI,Fair
1129.0,Home / Personal,Windows 11,2.8,Intel Core i7,1000,Intel Iris Graphics,0,1920x1080,32,Acer,Fair
839.99,Home / Personal,Windows 10,2.1,Ryzen 5,1000,AMD Radeon Vega 8,0,1920x1080,20,Lenovo,Low
1197.0,Versatile,Windows 11,3.2,Ryzen 7,1000,NVIDIA GeForce RTX 3050,0,2880x1800,16,ASUS,Fair
1149.99,Work / Business,Windows 10,2.1,Ryzen 5,2000,AMD Radeon Vega 6,0,1920x1080,24,Lenovo,Fair
1719.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,Acer,High
1822.77,Content Creation,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3080,0,3840x2160,16,MSI,High
1241.99,Work / Business,Windows 10,1.3,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,16,HP,Fair
2021.99,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 4070,0,1920x1080,16,MSI,High
979.99,Home / Personal,Windows 10,2.9,Intel Core i7,512,Intel Iris Graphics,1,2560x1600,16,MSI,Fair
819.99,Work / Business,Windows 11,1.6,Intel Core i5,256,Intel Iris Graphics,0,1920x1080,16,Dell,Fair
2099.99,Gaming,Windows 11,2.4,Intel Core i7,2000,NVIDIA GeForce RTX 4070,0,1920x1080,64,HP,High
1199.0,Work / Business,Windows 10,2.8,Intel Core i7,512,Intel Iris Graphics,0,1920x1080,64,Dell,Fair
1169.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce GTX 1650,0,1920x1080,32,ASUS,Fair
1239.99,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,Fair
1589.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,24,ASUS,Fair
869.99,Work / Business,Windows 11,1.7,Intel Core i7,256,Intel Iris Graphics,0,1920x1080,16,Dell,Fair
1089.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1200,16,Acer,Fair
699.99,Home / Personal,Windows 11,1.3,Intel Core i5,512,Intel Iris Graphics,1,1920x1200,8,Acer,Fair
1299.0,Versatile,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3070,1,2560x1600,16,MSI,High
1119.0,Home / Personal,Windows 11,1.7,Intel Core i7,1000,Intel Iris Graphics,1,1920x1080,64,HP,Fair
1499.0,Work / Business,Windows 11,2.2,Intel Core i7,512,Intel Iris Graphics,1,1920x1200,16,Lenovo,Fair
1025.41,Gaming,Windows 11,2.7,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1080,8,MSI,Fair
999.0,Gaming,Windows 11,2.0,Intel Core i5,1000,NVIDIA GeForce RTX 4060,0,1920x1080,16,MSI,High
1849.99,Work / Business,Windows 10,2.6,Intel Core i7,2000,NVIDIA GeForce GTX 1650,0,1920x1080,64,Lenovo,Fair
1329.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,Fair
1199.99,Home / Personal,Windows 11,2.4,Intel Core i7,1000,Intel Iris Graphics,0,3200x2000,16,Acer,Fair
1759.99,Gaming,Windows 10,2.5,Intel Core i5,4000,NVIDIA GeForce RTX 3050,0,1920x1080,64,Acer,Fair
1595.0,Work / Business,Windows 11,2.2,Intel Core i7,1000,Intel Iris Graphics,1,2560x1600,32,MSI,Fair
1543.99,Work / Business,Windows 11,2.4,Intel Core i7,1000,Intel Iris Graphics,0,2560x1600,32,MSI,Fair
627.78,Home / Personal,Windows 10,1.0,Intel Core i5,256,Intel UHD Graphics,1,1920x1080,16,Dell,Low
1399.99,Versatile,Windows 11,2.6,Intel Core i5,256,Intel Iris Graphics,1,2880x1920,16,Microsoft,Fair
1099.99,Versatile,Windows 11,3.2,Ryzen 7,512,NVIDIA GeForce RTX 3050,1,1920x1080,16,ASUS,Fair
1419.0,Home / Personal,Windows 11,2.8,Intel Core i7,1000,Intel Iris Graphics,1,1920x1080,16,HP,Fair
1039.99,Home / Personal,Windows 10,2.4,Intel Core i5,128,Intel Iris Graphics,1,2736x1824,8,Microsoft,Fair
1486.99,Home / Personal,Windows 10,2.4,Intel Core i5,256,Intel Iris Graphics,1,2736x1824,16,Microsoft,Fair
1569.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,24,ASUS,Fair
1349.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,Fair
1629.99,Versatile,Windows 11,3.1,Intel Core i5,256,Intel Iris Graphics,1,,16,Microsoft,Fair
1011.84,Work / Business,Windows 11,1.7,Intel Core i5,512,Intel Iris Graphics,0,1920x1200,16,MSI,Fair
1634.97,Gaming,Windows 10,2.3,Intel Core i7,512,NVIDIA GeForce RTX 3070,0,1920x1080,16,MSI,High
599.79,Home / Personal,Windows 11,2.4,Intel Core i5,512,Intel Iris Graphics,0,1920x1080,8,Dell,Fair
1009.0,Home / Personal,Windows 11,2.4,Intel Core i5,1000,Intel Iris Graphics,0,,32,HP,Fair
1079.0,Home / Personal,Windows 10,2.8,Intel Core i7,512,Intel Iris Graphics,1,1920x1080,16,HP,Fair
1759.0,Gaming,Windows 11,3.2,Ryzen 7,512,NVIDIA GeForce RTX 3070,0,2560x1440,16,Acer,High
1249.99,Everyday Value,Windows 10,2.8,Intel Core i7,512,Intel Iris Graphics,1,1920x1080,24,Lenovo,Fair
